date,year,quarter,action,ticker,market,shares,price_local,currency,eur_usd_rate,amount_eur,return_pct
2023-07-31,2023,Q3 2023,SELL,ITX,IBEX,45.9615,34.81,EUR,,1599.92,11.71
2023-07-31,2023,Q3 2023,BUY,AAOI,US,344.1285,6.75,USD,1.0993,2113.04,
2023-07-31,2023,Q3 2023,BUY,NVDA,US,49.7083,46.73,USD,1.0993,2113.04,
2023-07-31,2023,Q3 2023,BUY,BBVA,IBEX,270.5271,7.21,EUR,,1950.5,
2023-10-31,2023,Q4 2023,SELL,MOD,US,78.8802,39.5,USD,1.0576,2946.07,69.81
2023-10-31,2023,Q4 2023,SELL,SAB,IBEX,1515.836,1.171,EUR,,1775.04,23.94
2023-10-31,2023,Q4 2023,SELL,BBVA,IBEX,270.5271,7.422,EUR,,2007.85,2.94
2023-10-31,2023,Q4 2023,BUY,META,US,8.1189,301.27,USD,1.0576,2312.76,
2023-10-31,2023,Q4 2023,BUY,ITX,IBEX,65.587,32.55,EUR,,2134.86,
2023-10-31,2023,Q4 2023,BUY,IDR,IBEX,161.1212,13.25,EUR,,2134.86,
2024-01-31,2024,Q1 2024,SELL,POWL,US,128.0721,39.51,USD,1.0816,4678.37,201.54
2024-01-31,2024,Q1 2024,SELL,META,US,8.1189,390.14,USD,1.0816,2928.53,26.62
2024-01-31,2024,Q1 2024,SELL,ITX,IBEX,65.587,39.71,EUR,,2604.46,22.0
2024-01-31,2024,Q1 2024,SELL,IDR,IBEX,161.1212,16.47,EUR,,2653.67,24.3
2024-01-31,2024,Q1 2024,BUY,VRT,US,65.2716,56.33,USD,1.0816,3399.36,
2024-01-31,2024,Q1 2024,BUY,MOD,US,53.2168,69.09,USD,1.0816,3399.36,
2024-01-31,2024,Q1 2024,BUY,ROVI,IBEX,48.991,64.05,EUR,,3137.87,
2024-01-31,2024,Q1 2024,BUY,ACS,IBEX,85.7576,36.59,EUR,,3137.87,
2024-04-30,2024,Q2 2024,SELL,NVDA,US,49.7083,86.4,USD,1.0665,4027.0,90.58
2024-04-30,2024,Q2 2024,SELL,ACS,IBEX,85.7576,37.58,EUR,,3222.77,2.71
2024-04-30,2024,Q2 2024,BUY,POWL,US,90.4668,47.67,USD,1.0665,4043.65,
2024-04-30,2024,Q2 2024,BUY,BBVA,IBEX,316.2893,10.175,EUR,,3218.24,
2024-07-31,2024,Q3 2024,SELL,AAOI,US,344.1285,9.55,USD,1.0825,3035.96,43.68
2024-07-31,2024,Q3 2024,SELL,POWL,US,90.4668,61.21,USD,1.0825,5115.45,26.51
2024-07-31,2024,Q3 2024,SELL,BBVA,IBEX,316.2893,9.704,EUR,,3069.27,-4.63
2024-07-31,2024,Q3 2024,BUY,ASTS,US,222.099,20.68,USD,1.0825,4242.96,
2024-07-31,2024,Q3 2024,BUY,NVDA,US,39.2498,117.02,USD,1.0825,4242.96,
2024-07-31,2024,Q3 2024,BUY,SAB,IBEX,1401.0014,1.952,EUR,,2734.75,
2024-10-31,2024,Q4 2024,SELL,VRT,US,65.2716,109.29,USD,1.0883,6554.75,92.82
2024-10-31,2024,Q4 2024,SELL,ROVI,IBEX,48.991,78.1,EUR,,3826.19,21.94
2024-10-31,2024,Q4 2024,SELL,NVDA,US,39.2498,132.76,USD,1.0883,4788.02,12.85
2024-10-31,2024,Q4 2024,BUY,SMTC,US,113.2272,44.19,USD,1.0883,4597.55,
2024-10-31,2024,Q4 2024,BUY,IESC,US,22.8826,218.66,USD,1.0883,4597.55,
2024-10-31,2024,Q4 2024,BUY,ITX,IBEX,81.1451,52.3,EUR,,4243.89,
2025-01-31,2025,Q1 2025,SELL,MOD,US,53.2168,101.45,USD,1.0362,5210.23,53.27
2025-01-31,2025,Q1 2025,SELL,SMTC,US,113.2272,66.96,USD,1.0362,7316.83,59.15
2025-01-31,2025,Q1 2025,SELL,IESC,US,22.8826,221.28,USD,1.0362,4886.57,6.29
2025-01-31,2025,Q1 2025,SELL,ITX,IBEX,81.1451,52.72,EUR,,4277.97,0.8
2025-01-31,2025,Q1 2025,BUY,RKLB,US,179.403,29.05,USD,1.0362,5029.58,
